Ingenuity_Canonical_Pathways,_-log(p-value),Ratio,z-score,Molecules
IL-15_Signaling,0.00E+00,1.14E-02,-1.633,"IL2RB,JAK1,JAK3,MAPK12,PIK3CD,STAT6"
Role_of_Cytokines_in_Mediating_Communication_between_Immune_Cells,0.00E+00,3.70E-02,NaN,"IL12A,IL36B"
Dendritic_Cell_Maturation,0.00E+00,3.03E-02,-2.668,"CD83,COL10A1,CREB3L1,FSCN2,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ICAM1,IL12A,IL1RL2,IL36B,MAPK12,MR1,PIK3CD,TAB1,TLR2"
Mechanisms_of_Viral_Exit_from_Host_Cells,0.00E+00,2.44E-02,NaN,PRKCD
Angiopoietin_Signaling,0.00E+00,2.63E-02,NaN,"PAK1,PIK3CD"
Cardiomyocyte_Differentiation_via_BMP_Receptors,0.00E+00,3.70E-02,NaN,MEF2C
Thrombin_Signaling,0.00E+00,4.00E-02,-0.816,"ADCY9,ARHGEF3,GNA14,GNB3,ITPR1,MAPK12,PIK3CD,PRKCD,RHOBTB2"
ICOS-ICOSL_Signaling_in_T_Helper_Cells,0.00E+00,2.76E-02,-3.317,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ICOS,IL2RB,ITK,ITPR1,LCP2,NFATC2,PIK3CD,PPP3R2,PTPRC"
Mitotic_Roles_of_Polo-Like_Kinase,0.00E+00,2.99E-02,NaN,"CAPN1,PLK3"
DNA_Methylation_and_Transcriptional_Repression_Signaling,0.00E+00,3.06E-02,NaN,"CDK15,TCF21,TFE3"
ATM_Signaling,0.00E+00,3.00E-02,NaN,"CREB3L1,JUN,MAPK12"
Antiproliferative_Role_of_Somatostatin_Receptor_2,0.00E+00,2.60E-02,NaN,"GNB3,PIK3CD"
Germ_Cell-Sertoli_Cell_Junction_Signaling,0.00E+00,4.12E-02,NaN,"ACTN1,MAPK12,PAK1,PIK3CD,RHOBTB2,TGFB2,TUBB2A"
Melanoma_Signaling,0.00E+00,2.00E-02,NaN,PIK3CD
Type_I_Diabetes_Mellitus_Signaling,0.00E+00,2.55E-02,0,"BCL2,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IFNGR1,IFNGR2,IL12A,JAK1,MAPK12,PTPRN,SOCS3"
Endometrial_Cancer_Signaling,0.00E+00,1.67E-02,NaN,PIK3CD
Allograft_Rejection_Signaling,0.00E+00,1.03E-02,NaN,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5"
Glioma_Signaling,0.00E+00,4.00E-02,NaN,"CCND3,HDAC10,PDGFB,PIK3CD,PRKCD"
Autoimmune_Thyroid_Disease_Signaling,0.00E+00,1.09E-02,NaN,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5"
Thyroid_Cancer_Signaling,0.00E+00,3.80E-02,NaN,"IRS2,JUN,PIK3CD"
Graft-versus-Host_Disease_Signaling,0.00E+00,1.57E-02,NaN,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IL36B,KIR2DL1/KIR2DL3"
p70S6K_Signaling,0.00E+00,8.61E-03,-2,"JAK1,LYN,PIK3CD,PRKCD,YWHAH"
mTOR_Signaling,0.00E+00,2.34E-02,NaN,"PIK3CD,PRKCD,PROK1,RHOBTB2,RPS6KA3"
MYC_Mediated_Apoptosis_Signaling,0.00E+00,2.00E-02,NaN,BCL2
G_Protein_Signaling_Mediated_by_Tubby,0.00E+00,8.55E-03,-1,"GNA14,GNB3,ITK,LCP2"
Communication_between_Innate_and_Adaptive_Immune_Cells,0.00E+00,9.65E-03,NaN,"CD83,CD8A,HLA-DRA,HLA-DRB5,IL12A,IL36B,MR1,TLR2,TNFSF13"
Systemic_Lupus_Erythematosus_Signaling,0.00E+00,7.50E-03,NaN,"BDKRB2,IL36B,JUN,LYN,NFATC2,PIK3CD,PTPRC,SNRNP70"
CDC42_Signaling,0.00E+00,2.08E-02,-1.342,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ITGA5,ITGA9,ITGB7,ITK,JUN,MAPK12,PAK1"
EIF2_Signaling,0.00E+00,1.74E-02,0,"ATF3,BCL2,MYCN,PIK3CD"
Hereditary_Breast_Cancer_Signaling,0.00E+00,2.82E-02,NaN,"CCND3,FANCG,HDAC10,PIK3CD"
RHOA_Signaling,0.00E+00,3.23E-02,-2,"CDC42EP3,MSN,NGEF,RAPGEF2"
Phospholipase_C_Signaling,0.00E+00,1.78E-02,-2.673,"ADCY9,ARHGEF3,CREB3L1,GNB3,HDAC10,ITGA5,ITGA9,ITGB7,ITK,ITPR1,LCP2,LYN,MEF2A,MEF2C,NFATC2,PLA2G2A,PPP3R2,PRKCD,RHOBTB2,RPS6KA3"
HER-2_Signaling_in_Breast_Cancer,0.00E+00,3.52E-02,-2.828,"ELK3,ETS2,ITGB7,JUN,LYN,NRG1,PIK3CD,PRKCD"
Altered_T_Cell_and_B_Cell_Signaling_in_Rheumatoid_Arthritis,0.00E+00,1.06E-02,NaN,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IL12A,IL36B,SPP1,TLR2,TNFSF13"
Regulation_of_eIF4_and_p70S6K_Signaling,0.00E+00,2.72E-02,NaN,"ITGA5,ITGA9,ITGB7,MAPK12,PIK3CD"
Leptin_Signaling_in_Obesity,0.00E+00,3.95E-02,NaN,"ADCY9,PIK3CD,SOCS3"
Glioma_Invasiveness_Signaling,0.00E+00,2.74E-02,NaN,"PIK3CD,RHOBTB2"
B_Cell_Development,0.00E+00,1.64E-02,NaN,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IL7R,PTPRC,SPN"
Neuroprotective_Role_of_THOP1_in_Alzheimer's_Disease,0.00E+00,2.48E-02,NaN,"C1R,SERPINA3,ST14"
Regulation_of_IL-2_Expression_in_Activated_and_Anergic_T_Lymphocytes,0.00E+00,1.08E-02,-0.447,"JUN,MAPK12,NFATC2,PPP3R2,TGFB2"
Granzyme_A_Signaling,0.00E+00,2.67E-02,NaN,"GSDMB,NDUFV1"
NUR77_Signaling_in_T_Lymphocytes,0.00E+00,1.95E-02,-1,"BCL2,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,MR1,PPP3R2,PRKCD,RPS6KA3"
PKCθ_Signaling_in_T_Lymphocytes,0.00E+00,2.51E-02,-3,"CACNA2D4,CACNB2,CATSPER3,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ITPR1,JUN,LCP2,NFATC2,PIK3CD,PPP3R2"
Role_of_MAPK_Signaling_in_the_Pathogenesis_of_Influenza,0.00E+00,3.57E-02,NaN,"BCL2,MAPK12,PLA2G2A"
Role_of_PI3K/AKT_Signaling_in_the_Pathogenesis_of_Influenza,0.00E+00,1.52E-02,NaN,PIK3CD
Antiproliferative_Role_of_TOB_in_T_Cell_Signaling,0.00E+00,2.35E-03,NaN,TGFB2
OX40_Signaling_Pathway,0.00E+00,1.67E-02,NaN,"BCL2,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,JUN,MAPK12"
PI3K_Signaling_in_B_Lymphocytes,0.00E+00,1.52E-02,-2.828,"ATF3,IRS2,ITPR1,JUN,LYN,NFATC2,PIK3CD,PPP3R2,PTPRC"
MIF-mediated_Glucocorticoid_Regulation,0.00E+00,2.78E-02,NaN,PLA2G2A
Cyclins_and_Cell_Cycle_Regulation,0.00E+00,3.53E-02,NaN,"CCND3,HDAC10,TGFB2"
Cell_Cycle_Control_of_Chromosomal_Replication,0.00E+00,3.57E-02,NaN,"CDK15,LIG1"
Assembly_of_RNA_Polymerase_II_Complex,0.00E+00,2.00E-02,NaN,TAF10
Hematopoiesis_from_Pluripotent_Stem_Cells,0.00E+00,4.48E-03,NaN,"CD8A,IL12A"
VEGF_Family_Ligand-Receptor_Interactions,0.00E+00,3.57E-02,NaN,"PIK3CD,PLA2G2A,PRKCD"
Thyroid_Hormone_Metabolism_II_(via_Conjugation_and/or_Degradation),0.00E+00,2.44E-02,NaN,UGT2A1
Pyrimidine_Ribonucleotides_De_Novo_Biosynthesis,0.00E+00,2.33E-02,NaN,NUDT18
Triacylglycerol_Degradation,0.00E+00,3.45E-02,NaN,"ABHD2,LIPC"
"D-myo-inositol_(1,4,5)-Trisphosphate_Biosynthesis",0.00E+00,3.85E-02,NaN,PI4K2A
Phospholipases,0.00E+00,2.90E-02,NaN,"LIPC,PLA2G2A"
Serotonin_Degradation,0.00E+00,1.39E-02,NaN,UGT2A1
Triacylglycerol_Biosynthesis,0.00E+00,3.57E-02,NaN,"LPCAT1,LPCAT2"
Salvage_Pathways_of_Pyrimidine_Ribonucleotides,0.00E+00,4.12E-02,NaN,"DMPK,PAK1,PIM1,PRKCD"
Pyrimidine_Ribonucleotides_Interconversion,0.00E+00,2.50E-02,NaN,NUDT18
Glycolysis_I,0.00E+00,4.00E-02,NaN,ENO3
Gluconeogenesis_I,0.00E+00,4.00E-02,NaN,ENO3
Oxidative_Ethanol_Degradation_III,0.00E+00,3.57E-02,NaN,"ACSL1,CYP2S1"
Ethanol_Degradation_IV,0.00E+00,4.00E-02,NaN,ACSL1
Ethanol_Degradation_II,0.00E+00,2.86E-02,NaN,ACSL1
Superpathway_of_Methionine_Degradation,0.00E+00,2.63E-02,NaN,MAT2B
DNA_damage-induced_14-3-3σ_Signaling,0.00E+00,2.17E-02,NaN,BCL2
Inhibition_of_Matrix_Metalloproteases,0.00E+00,2.56E-02,NaN,MMP23B
Cysteine_Biosynthesis_III_(mammalia),0.00E+00,4.00E-02,NaN,MAT2B
Role_of_p14/p19ARF_in_Tumor_Suppression,0.00E+00,3.33E-02,NaN,PIK3CD
TEC_Kinase_Signaling,0.00E+00,2.60E-02,-2.53,"GNA14,GNB3,ITGA5,ITGA9,ITGB7,ITK,JAK1,JAK3,LYN,MAPK12,PAK1,PIK3CD,PRKCD,RHOBTB2,STAT6"
UVA-Induced_MAPK_Signaling,0.00E+00,4.08E-02,NaN,"JUN,MAPK12,PIK3CD,RPS6KA3"
Oxidative_Phosphorylation,0.00E+00,1.79E-02,NaN,"NDUFV1,UQCRHL"
Estrogen_Receptor_Signaling,0.00E+00,3.91E-02,-2.309,"ADCY9,BCL2,CACNA2D4,CACNB2,CREB3L1,GNA14,GNB3,JAK1,JAK3,JUN,MMP23B,NDUFV1,PAK1,PIK3CD,PRKCD,PROK1"
SAPK/JNK_Signaling,0.00E+00,1.39E-02,1.134,"DUSP10,DUSP4,GNB3,JUN,MAPK12,PIK3CD,TAB1"
Protein_Ubiquitination_Pathway,0.00E+00,2.20E-02,NaN,"BAG1,BIRC3,DNAJB1,DNAJC16,MR1,PSMD1"
Cell_Cycle:_G2/M_DNA_Damage_Checkpoint_Regulation,0.00E+00,2.00E-02,NaN,YWHAH
IL-4_Signaling,0.00E+00,3.47E-02,-3.578,"CCL22,COL10A1,COL12A1,COL7A1,CREB3L1,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IL13RA1,IRS2,JAK1,JAK3,MAPK12,NFATC2,NFIL3,PIK3CD,STAT6,TGFB2"
B_Cell_Receptor_Signaling,0.00E+00,1.89E-02,-1.265,"CREB3L1,INPP5J,JUN,LYN,MAPK12,MEF2C,NFATC2,OCRL,PIK3CD,PPP3R2,PTPRC,RASSF5"
Chemokine_Signaling,0.00E+00,2.47E-02,NaN,"JUN,MAPK12"
Death_Receptor_Signaling,0.00E+00,2.08E-02,NaN,"BCL2,BIRC3"
Dopamine_Receptor_Signaling,0.00E+00,2.50E-02,NaN,"ADCY9,SLC18A3"
Apoptosis_Signaling,0.00E+00,3.85E-02,0,"BCL2,BIRC3,CAPN1,CAPN5"
NF-κB_Signaling,0.00E+00,1.05E-02,-0.816,"FGFR4,IL36B,PIK3CD,TAB1,TLR2,TNFRSF11A"
VEGF_Signaling,0.00E+00,4.04E-02,-2,"ACTN1,BCL2,PIK3CD,PROK1"
Hypoxia_Signaling_in_the_Cardiovascular_System,0.00E+00,3.95E-02,NaN,"CREB3L1,JUN,SLC2A4"
T_Cell_Receptor_Signaling,0.00E+00,2.92E-02,-3,"CD8A,DUSP5,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ICAM1,ICOS,ITK,JUN,LCP2,MAPK12,MR1,NFATC2,PIK3CD,PPP3R2,PTPRC"
Cancer_Drug_Resistance_by_Drug_Efflux,0.00E+00,1.72E-02,NaN,PIK3CD
Sumoylation_Pathway,0.00E+00,2.91E-02,NaN,"JUN,MAPK12,RHOBTB2"
Sirtuin_Signaling_Pathway,0.00E+00,3.77E-02,-0.632,"ATG10,ATG16L1,ATG5,ATG7,JUN,KAT2A,MAPK12,MAPK4,MYCN,NDUFV1,TOMM40L"
Th17_Activation_Pathway,0.00E+00,2.48E-02,-1.508,"DEFB124,IL12A,IL12RB1,IL12RB2,IL21R,IRAK2,JAK1,JAK3,NFATC2,PTGER4,RUNX1,SOCS3"
SPINK1_Pancreatic_Cancer_Pathway,0.00E+00,3.33E-02,NaN,"CTSB,KLK14"
"NER_(Nucleotide_Excision_Repair,_Enhanced_Pathway)",0.00E+00,2.22E-02,NaN,"HMGN1,LIG1"
BAG2_Signaling_Pathway,0.00E+00,2.35E-02,NaN,"CTSB,PSMD1"
FAT10_Signaling_Pathway,0.00E+00,1.75E-02,NaN,PSMD1
FAT10_Cancer_Signaling_Pathway,0.00E+00,2.00E-02,NaN,TGFB2
T_Cell_Exhaustion_Signaling_Pathway,0.00E+00,2.47E-02,-0.707,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,IL12A,IL12RB1,IL12RB2,JAK1,JAK3,JUN,MAPK12,NFATC2,PIK3CD"
Systemic_Lupus_Erythematosus_in_T_Cell_Signaling_Pathway,0.00E+00,2.49E-02,-3.207,"CREB3L1,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ICOS,ITPR1,JUN,MR1,MSN,NFATC2,PIK3CD,PPP3R2,RHOBTB2,S1PR3"
Systemic_Lupus_Erythematosus_in_B_Cell_Signaling_Pathway,0.00E+00,2.48E-02,-1.886,"BCL2,CCND3,CD5,IFNGR1,IFNGR2,IL12A,IL36B,INPP5J,JAK1,JUN,LYN,NFATC2,OCRL,PIK3CD,PPP3R2,PRKCD,TGFB2,TNFSF13"
Xenobiotic_Metabolism_AHR_Signaling_Pathway,0.00E+00,2.30E-02,NaN,"GSTM2,MGST1"
Kinetochore_Metaphase_Signaling_Pathway,0.00E+00,2.73E-02,NaN,"CENPT,ENSA,MAD1L1"
Coronavirus_Pathogenesis_Pathway,0.00E+00,3.43E-02,0.378,"BCL2,HDAC10,IL17RA,JAK1,JUN,MAPK12,SERPINE1"
